,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
52004,PG56856,L'auca del senyor Esteve: ab redolins dibuixats per en Ramón Casas; escrits per en Gabriel Alomar,"Rusiñol, Santiago",1861.0,1931.0,['ca'],81,{'Catalan fiction'},
52005,PG56857,Carlo Porta e la sua Milano,"Barbiera, Raffaello",1851.0,1934.0,['it'],37,"{'Milan (Italy) -- History', 'Porta, Carlo Antonio Melchiore Filippo, 1775-1821'}",
52007,PG56859,"La ""National Gallery""","Dayot, Armand",1851.0,1934.0,['fr'],57,"{'Painting -- England -- London -- Catalogs', 'National Gallery (Great Britain)'}",
52012,PG56863,Onkel Toms Hytte,"Stowe, Harriet Beecher",1811.0,1896.0,['no'],47,"{'African Americans -- Fiction', 'Master and servant -- Fiction', 'Didactic fiction', 'Plantation life -- Fiction', 'Fugitive slaves -- Fiction', 'Uncle Tom (Fictitious character) -- Fiction', 'Slaves -- Fiction', 'Slavery -- Fiction', 'Political fiction', 'Southern States -- Fiction'}",
52015,PG56866,Enllà: Poesies,"Maragall, Joan",1860.0,1911.0,['ca'],13,{'Catalan poetry'},
52016,PG56867,Haapaniemen keinu: Kuvauksia sydänmaan kylästä,"Talvio, Maila",1871.0,1951.0,['fi'],4,{'Finnish fiction -- 19th century'},
52021,PG56871,Der Pfefferkuchenbäcker und Lebküchler,"Stegmann, F. H. (Friedrich Hermann)",,,['de'],12,"{'Gingerbread', 'Cake', 'Confectionery'}",
52024,PG56874,Föld felett és viz alatt; A véres kenyér; A szegénység utja,"Jókai, Mór",1825.0,1904.0,['hu'],44,{'Hungarian fiction -- 19th century'},
52029,PG56879,Suomalainen linnanneiti josta tuli kuningatar,"Wilkuna, Kyösti",1879.0,1922.0,['fi'],2,{'Finnish fiction -- 20th century'},
52033,PG56882,Susien saaliina,"London, Jack",1876.0,1916.0,['fi'],1,"{'Canada, Northern -- Fiction', 'Wolfdogs -- Fiction', 'Adventure stories', 'Tiger hunting'}",
52036,PG56885,Morganin miljoonat: Salapoliisiromaani,"Elvestad, Sven",1884.0,1934.0,['fi'],1,"{'Norwegian fiction -- Translations into Finnish', 'Detective and mystery stories', 'Krag, Asbjørn (Fictitious character) -- Fiction'}",
52039,PG56888,Importanza e risultati degli incrociamenti in avicoltura,"Pascal, Teodoro",1857.0,1937.0,['it'],14,{'Poultry -- Hybridization'},
52042,PG56890,"Fra Tommaso Campanella, Vol. 1: la sua congiura, i suoi processi e la sua pazzia","Amabile, Luigi",1828.0,1892.0,['it'],36,"{'Campanella, Tommaso, 1568-1639', 'Philosophy, Renaissance'}",
52044,PG56892,Pensées sans langage,"Picabia, Francis",1879.0,1953.0,['fr'],27,{'French poetry -- 20th century'},
52049,PG56897,Raamatun tutkisteluja 3: Tulkoon valtakuntasi,"Russell, C. T. (Charles Taze)",1852.0,1916.0,['fi'],8,"{""Jehovah's witnesses -- Controversial literature"", 'Bible -- Criticism, interpretation, etc.'}",
52050,PG56898,Raamatun tutkisteluja 4: Harmagedonin taistelu,"Russell, C. T. (Charles Taze)",1852.0,1916.0,['fi'],2,"{""Jehovah's witnesses -- Controversial literature"", 'Bible -- Criticism, interpretation, etc.'}",
52055,PG56901,Tukkikauppa: Nelinäytöksinen kuvaus kansan elämästä,"Huhtinen, E.",,,['fi'],0,{'Finnish drama -- 20th century'},
52067,PG56912,Novellák,"Jókai, Mór",1825.0,1904.0,['hu'],29,{'Hungarian fiction -- 19th century'},
52070,PG56915,Meren takaa I,"Kallas, Aino",1878.0,1956.0,['fi'],3,"{'Short stories, Finnish', 'Finnish fiction -- 20th century'}",
52071,PG56916,Vanhasta kylästä ynnä muita kertomuksia,"Krag, Thomas Peter",1868.0,1913.0,['fi'],3,"{'Norwegian fiction -- Translations into Finnish', 'Short stories, Norwegian -- Translations into Finnish'}",
52073,PG56918,Tableau historique et pittoresque de Paris depuis les Gaulois jusqu'à nos jours (Volume 3/8),"Saint-Victor, J. B. de (Jacques-Benjamin)",1772.0,1858.0,['fr'],8,{'Paris (France) -- Description and travel'},
52074,PG56919,Tableau historique et pittoresque de Paris depuis les Gaulois jusqu'à nos jours (Volume 4/8),"Saint-Victor, J. B. de (Jacques-Benjamin)",1772.0,1858.0,['fr'],15,{'Paris (France) -- Description and travel'},
52076,PG56920,Ajas: Szomorujáték,Sophocles,-496.0,-406.0,['hu'],7,"{'Ajax (Greek mythological figure) -- Drama', 'Tragedies'}",
52078,PG56922,Rab Ráby: Regény,"Jókai, Mór",1825.0,1904.0,['hu'],26,"{'Ráby, Mátyás, 1752- -- Fiction', 'Hungarian fiction -- 19th century'}",
52087,PG56930,Meren takaa II,"Kallas, Aino",1878.0,1956.0,['fi'],1,"{'Short stories, Finnish', 'Finnish fiction -- 20th century'}",
52093,PG56936,Kultahohde,"London, Jack",1876.0,1916.0,['fi'],1,"{'Western stories', 'Adventure stories, American -- Translations into Finnish', 'Short stories', 'American fiction -- Translations into Finnish'}",
52095,PG56938,Skärgårdens vår,"Mörne, Arvid",1876.0,1946.0,['sv'],1,{'Finnish poetry (Swedish)'},
52099,PG56941,Sárga rózsa; A Kráó,"Jókai, Mór",1825.0,1904.0,['hu'],22,"{'Short stories, Hungarian', 'Hungarian fiction -- 19th century'}",
52101,PG56943,Le origini degli Stati Uniti d'America,"Mondaini, Gennaro",1874.0,1948.0,['it'],21,"{'United States -- History -- Colonial period, ca. 1600-1775'}",
52102,PG56944,Pikku Lallin maapallo,"Bergh, John",1872.0,1939.0,['fi'],0,"{""Children's stories""}",
52105,PG56947,Semiramide: Racconto babilonese,"Barrili, Anton Giulio",1836.0,1908.0,['it'],11,"{'Semiramis, Queen, consort of Shamshi-Adad V, King of Assyria, active 9th century B.C. -- Fiction', 'Iraq -- History -- To 634 -- Fiction', 'Babylon (Extinct city) -- Fiction'}",
52111,PG56952,"Poèmes et dessins de la fille née sans mère: 18 dessins, 51 poèmes","Picabia, Francis",1879.0,1953.0,['fr'],44,"{'French poetry -- 20th century', 'Drawing, French'}",
52117,PG56958,L'umorismo,"Pirandello, Luigi",1867.0,1936.0,['it'],54,{'Wit and humor -- History and criticism'},
52127,PG56967,Erik Sparres bästa: En handfull skärgårdshistorier,"Sparre, Erik",1871.0,1950.0,['sv'],17,"{'Swedish fiction', 'Short stories, Swedish'}",
52129,PG56969,Nincsen ördög; A Magláy család; A ki holta után áll boszut,"Jókai, Mór",1825.0,1904.0,['hu'],21,{'Hungarian fiction -- 19th century'},
52138,PG56977,"Oudewater en omtrek, Geologisch, Mythologisch en Geschiedkundig Geschetst","Zijll, Willem Cornelis van",1834.0,1865.0,['nl'],38,{'Oudewater (Netherlands)'},
52143,PG56981,Erzgebirgisches Wanderbuch: 148 Ausflüge und Wanderungen in die Umgebung von Chemnitz und das Erzgebirge,"Wenzel, Max",1879.0,1946.0,['de'],34,{'Erzgebirge (Czech Republic and Germany) -- Guidebooks'},
52144,PG56982,Juha Joutsia,"Talvio, Maila",1871.0,1951.0,['fi'],0,{'Finnish fiction -- 20th century'},
52145,PG56983,Murattiköynnös: Runoja,"Onerva, L.",1882.0,1972.0,['fi'],1,{'Finnish poetry'},
52153,PG56990,Un grand français du XVIIme siècle : Pierre Paul Riquet et le canal du Midi,"Fernay, Jacques",1849.0,,['fr'],11,"{'Riquet de Bonrepos, Pierre-Paul, 1604-1680', 'Canal du Midi (France) -- History'}",
52154,PG56991,Mene tekel! Eine Entdeckungsreise nach Europa,"Passer, Arnold von der",1851.0,1917.0,['de'],15,{'Utopian fiction'},
52157,PG56994,Pimeänpirtin hävitys,"Talvio, Maila",1871.0,1951.0,['fi'],0,{'Finnish fiction -- 20th century'},
52159,PG56996,Ipolyi Arnold népmesegyüjteménye; Magyar népköltési gyüjtemény 13. kötet,"Ipolyi, Arnold",1823.0,1886.0,['hu'],35,{'Folklore -- Hungary'},
52160,PG56997,Le Secret professionnel,"Cocteau, Jean",1889.0,1963.0,['fr'],36,{'Poetry -- History and criticism'},
52167,PG57001,Papeis Avulsos,Machado de Assis,1839.0,1908.0,['pt'],50,"{'Portuguese fiction -- 19th century', 'Short stories, Portuguese'}",
52178,PG57011,Herrasmies varkaana: Salapoliisikertomus,"Elvestad, Sven",1884.0,1934.0,['fi'],0,"{'Norwegian fiction -- Translations into Finnish', 'Detective and mystery stories', 'Krag, Asbjørn (Fictitious character) -- Fiction'}",
52179,PG57012,Miss Harriet,"Maupassant, Guy de",1850.0,1893.0,['fi'],9,"{'French fiction -- Translations into Finnish', 'Short stories, French -- Translations into Finnish'}",
52186,PG57019,"Mémoires de Garibaldi, tome 1/2","Dumas, Alexandre",1802.0,1870.0,['fr'],17,"{'Revolutionaries -- Italy -- Biography', 'Garibaldi, Giuseppe, 1807-1882', 'Italy -- History -- 1815-1870', 'Statesmen -- Italy -- Biography', 'Generals -- Italy -- Biography'}",
52191,PG57023,Oeuvres complètes de Charles Péguy (tome 1),"Péguy, Charles",1873.0,1914.0,['fr'],61,{'French literature'},
52197,PG57029,Megtörtént regék: Beszélyek,"Jókai, Mór",1825.0,1904.0,['hu'],24,{'Hungarian fiction -- 19th century'},
52201,PG57032,"Deutsche Flagge, sei gegrüsst!: Friedens- und Kriegsfahrten der Hanse, Kriegs- und Friedenstaten der deutschen Marine","Satow, Hans",,,['de'],75,"{'Germany. Kriegsmarine -- History', 'Merchant marine -- Germany -- History'}",
52204,PG57035,Comedias inéditas,"Vega, Lope de",1562.0,1635.0,['es'],22,"{'Spanish drama -- Classical period, 1500-1700'}",
52210,PG57040,Novelle Napolitane,"Di Giacomo, Salvatore",1860.0,1934.0,['it'],42,"{'Short stories, Italian', 'Italian fiction -- 20th century'}",
