,id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,subjects,type
10,PG1000,La Divina Commedia di Dante: Complete,Dante Alighieri,1265.0,1321.0,['it'],303,"{'Italian poetry -- To 1400', 'Epic poetry, Italian'}",
44,PG10040,"Aleutian Indian and English Dictionary: Common Words in the Dialects of the Aleutian Indian Language as Spoken by the Oogashik, Egashik, Anangashuk and Misremie Tribes Around Sulima River and Neighboring Parts of the Alaska Peninsula","Lee, Charles A.",,,"['en', 'ale']",33,"{'English language -- Dictionaries -- Aleut', 'Aleut language -- Dictionaries -- English'}",
58,PG10053,La vampire,"Féval, Paul",1817.0,1887.0,['fr'],69,{'Vampires -- Fiction'},
59,PG10054,Nova analysis aquarum Medeviensium,"Berzelius, Jöns Jakob, friherre",1779.0,1848.0,['la'],7,{'Mineral waters -- Sweden'},
60,PG10055,Hamburgische Dramaturgie,"Lessing, Gotthold Ephraim",1729.0,1781.0,['de'],47,"{'Drama -- Technique', 'Aristotle, 384 BC-322 BC. Poetics'}",
67,PG10061,Les Heures Claires,"Verhaeren, Emile",1855.0,1916.0,['fr'],42,{'Belgian poetry (French)'},
109,PG1009,La Divina Commedia di Dante: Inferno,Dante Alighieri,1265.0,1321.0,['it'],56,"{'Hell -- Poetry', 'Italian poetry -- To 1400', 'Epic poetry, Italian'}",
121,PG1010,La Divina Commedia di Dante: Purgatorio,Dante Alighieri,1265.0,1321.0,['it'],17,"{'Hell -- Poetry', 'Italian poetry -- To 1400', 'Epic poetry, Italian'}",
125,PG10113,"De mannen van '80 aan het woord: Een onderzoek vaar eenige beginselen van de ""Nieuwe-Gids""-school.","D'Oliveira, E. (Elias)",1886.0,1944.0,['nl'],5,{'Dutch literature -- 19th century -- History and criticism'},
129,PG10117,Den siste Atenaren,"Rydberg, Viktor",1828.0,1895.0,['sv'],20,"{'Swedish fiction', 'Church history -- Primitive and early church, ca. 30-600 -- Fiction', 'Christian fiction'}",
132,PG1011,La Divina Commedia di Dante: Paradiso,Dante Alighieri,1265.0,1321.0,['it'],40,"{'Italian poetry -- To 1400', 'Epic poetry, Italian'}",
143,PG1012,La Divina Commedia di Dante,Dante Alighieri,1265.0,1321.0,['it'],489,"{'Italian poetry -- To 1400', 'Epic poetry, Italian'}",
172,PG10156,M'appari - Martha,,,,['it'],23,{'Operas -- Excerpts'},Sound
177,PG10160,Pierre Nozière,"France, Anatole",1844.0,1924.0,['fr'],8,{'French fiction'},
238,PG10215,"Manfredo Palavicino, o, I Francesi e gli Sforzeschi: Storia Italiana","Rovani, Giuseppe",1818.0,1874.0,['it'],13,{'Lombardy (Italy) -- History -- 16th century -- Fiction'},
241,PG10218,Stauder,"Brandt, G. N. (Gudmund Nyeland)",1878.0,1945.0,['da'],5,{'Perennials'},
247,PG10223,Meyers Konversationslexikon Band 15,Various,,,['de'],257,{'Encyclopedias and dictionaries'},
252,PG10228,El Presidente Díaz al Señor Edison,"Díaz, Porfirio",1830.0,1915.0,['es'],4,"{'Edison, Thomas A. (Thomas Alva), 1847-1931'}",Sound
261,PG10236,International Correspondence School - Spanish Lesson #9,,,,"['en', 'es']",14,{'Spanish language -- Sound recordings for English speakers'},Sound
282,PG10255,La Paloma,,,,['es'],46,{'Songs -- Instrumental settings'},Sound
283,PG10256,"O, Tannenbaum",Nebe-Quartett,,,['de'],24,"{'Christmas music', 'Carols, German'}",Sound
284,PG10257,Mazel Tov,I. J. Hochman's Yiddisher Orchester,,,['yi'],27,"{'Klezmer music', 'Jews -- Music'}",Sound
289,PG10261,La Bella Cubano: Habenera,,,,['es'],7,"{'Habaneras', 'Violin and piano music'}",Sound
290,PG10262,Que Partes El Alma: Rumba Son,,,,['es'],15,"{'Folk songs, Spanish -- Cuba'}",Sound
291,PG10263,Envoyons d'l'avant nos gens!: Folklore du Canada,,,,['fr'],5,"{'Folk songs, French -- Canada', 'Folk music -- Canada'}",Sound
292,PG10264,Skamba Kankliah Ir Trimintai,,,,['lt'],10,"{'Folk songs, Lithuanian'}",Sound
293,PG10265,Anssin Jukka ja Härmän Häät,,,,['fi'],9,"{'Folk songs, Finnish'}",Sound
300,PG10271,Höchstes Vertrauen: (aus Lohengrin),,,,['de'],8,{'Operas -- Excerpts'},Sound
301,PG10272,Sono Un Poeta: From La Bohème,,,,['it'],18,{'Operas -- Excerpts'},Sound
302,PG10273,Ah! Fors' é Lui (La Traviata),,,,['it'],15,{'Operas -- Excerpts'},Sound
304,PG10275,La Gioconda,,,,['it'],31,{'Operas -- Excerpts'},Sound
305,PG10276,Gloria: From The Twelfth Mass by Wolfgang Amadeus Mozart,,,,['la'],36,"{'Masses -- Excerpts', 'Choruses, Sacred (Mixed voices, 4 parts)'}",Sound
307,PG10278,Sei Forse L'Angelo Fedele: From Eugene Onegin,,,,['it'],11,{'Operas -- Excerpts'},Sound
319,PG10289,Le Chat du Neptune,"Hervilly, Ernest d'",1839.0,1911.0,['fr'],6,{'French fiction -- 19th century'},
321,PG10290,Confession de Minuit: Roman,"Duhamel, Georges",1884.0,1966.0,['fr'],56,{'French fiction -- 20th century'},
324,PG10293,"Relación historica de los sucesos de la rebelión de José Gabriel Tupac-Amaru en las provincias del Peru, el año de 1780",Anonymous,,,['es'],14,"{'Peru -- History -- Insurrection of Tupac Amaru, 1780-1781'}",
370,PG10334,Van 't  viooltje dat weten wilde,"Marx-Koning, Marie",1864.0,1926.0,['nl'],4,"{'Short stories, Dutch'}",
383,PG10346,C'Était ainsi...,"Buysse, Cyriel",1859.0,1932.0,['fr'],3,{'Fiction'},
386,PG10349,Naar het middelpunt der Aarde,"Verne, Jules",1828.0,1905.0,['nl'],49,"{'Earth (Planet) -- Core -- Fiction', 'Adventure stories', 'Voyages, Imaginary -- Fiction', 'Science fiction'}",
391,PG10353,Satyros oder Der vergötterte Waldteufel,"Goethe, Johann Wolfgang von",1749.0,1832.0,['de'],35,{'Drama'},
392,PG10354,Die Laune des Verliebten: Ein Schäferspiel in Versen und einem Akt,"Goethe, Johann Wolfgang von",1749.0,1832.0,['de'],21,"{'German poetry -- 18th century', 'Pastoral poetry'}",
425,PG10384,Le Pays de l'or,"Conscience, Hendrik",1812.0,1883.0,['fr'],10,"{'Flemish fiction', 'Gold mines and mining -- California -- Fiction', 'Flemings -- California -- Fiction', 'California -- Gold discoveries -- Fiction', 'Belgians -- California -- Fiction', 'California -- History -- 1846-1850 -- Fiction'}",
426,PG10385,"Histoire de la Révolution française, Tome 03","Thiers, Adolphe",1797.0,1877.0,['fr'],8,"{'France -- History -- Revolution, 1789-1799'}",
444,PG10400,Historie van Mejuffrouw Sara Burgerhart,"Deken, Agatha",1741.0,1804.0,['nl'],15,{'Dutch fiction'},
471,PG10425,Torquato Tasso: Ein Schauspiel,"Goethe, Johann Wolfgang von",1749.0,1832.0,['de'],48,"{'Tasso, Torquato, 1544-1595 -- Drama'}",
472,PG10426,Die natürliche Tochter,"Goethe, Johann Wolfgang von",1749.0,1832.0,['de'],21,{'Drama'},
474,PG10428,Die Aufgeregten,"Goethe, Johann Wolfgang von",1749.0,1832.0,['de'],11,{'Europe -- Social conditions -- 19th century -- Drama'},
490,PG10442,La Comédie de la mort,"Gautier, Théophile",1811.0,1872.0,['fr'],12,"{'Death in literature', 'Death -- Poetry'}",
532,PG10480,Kauppa-Lopo,"Canth, Minna",1844.0,1897.0,['fi'],10,{'Finnish fiction'},
533,PG10481,Rautatie,"Aho, Juhani",1861.0,1921.0,['fi'],38,{'Fiction'},
545,PG10492,Agnes,"Canth, Minna",1844.0,1897.0,['fi'],15,{'Fiction'},
557,PG10502,Vecchie Storie,"De Marchi, Emilio",1851.0,1901.0,['it'],4,"{'Short stories', 'Fiction'}",
561,PG10506,"Romance de lobos, comedia barbara","Valle-Inclán, Ramón del",1866.0,1936.0,['es'],26,{'Spanish drama'},
562,PG10507,"Mary, Erzählung","Bjørnson, Bjørnstjerne",1832.0,1910.0,['de'],5,{'Norway -- Fiction'},
568,PG10512,Het portret van Dorian Gray,"Wilde, Oscar",1854.0,1900.0,['nl'],27,"{'Paranormal fiction', 'Didactic fiction', 'Portraits -- Fiction', 'London (England) -- History -- 1800-1950 -- Fiction', 'Supernatural -- Fiction', 'Great Britain -- History -- Victoria, 1837-1901 -- Fiction', 'Conduct of life -- Fiction', 'Appearance (Philosophy) -- Fiction'}",
570,PG10514,De jongere generatie: gesprekken met vertegenwoordigers van de nieuwere richting in onze; literatuur; tevens een enquête naar enkele beginselen in ons nationaal; geestelijk leven,"D'Oliveira, E. (Elias)",1886.0,1944.0,['nl'],6,{'Dutch literature -- 19th century -- History and criticism'},
670,PG10604,Les affinités électives: Suivies d'un choix de pensées du même,"Goethe, Johann Wolfgang von",1749.0,1832.0,['fr'],22,"{'Love stories', 'German fiction -- Translations into French', 'Social problems -- Fiction', 'Aristocracy (Social class) -- Fiction', 'Adultery -- Fiction'}",
736,PG10664,Specialiteiten,Multatuli,1820.0,1887.0,['nl'],6,{'Dutch literature'},
751,PG10678,"Histoire de la Révolution française, Tome 04","Thiers, Adolphe",1797.0,1877.0,['fr'],7,"{'France -- History -- Revolution, 1789-1799'}",
754,PG10680,La Bretagne. Paysages et Récits.,"Loudun, Eugène",1818.0,1898.0,['fr'],11,"{'Brittany (France) -- Description and travel', 'Brittany (France) -- Folklore'}",
756,PG10682,Les chasseurs de chevelures,"Reid, Mayne",1818.0,1883.0,['fr'],9,"{'New Mexico -- Social life and customs -- 19th century -- Juvenile fiction', 'Frontier and pioneer life -- New Mexico -- Juvenile fiction'}",
757,PG10683,Lettre à l'Empereur Alexandre sur la traite des noirs,"Wilberforce, William",1759.0,1833.0,['fr'],7,{'Slave trade'},
759,PG10685,Curiosités Infernales,"Jacob, P. L.",1806.0,1884.0,['fr'],23,"{'Demonology', 'Folklore', 'Witchcraft'}",
760,PG10686,Tine,"Bang, Herman",1857.0,1912.0,['da'],17,"{'War stories', 'Schleswig-Holstein War, 1864 -- Fiction'}",
761,PG10687,Tartarin de Tarascon,"Daudet, Alphonse",1840.0,1897.0,['fr'],68,"{'Algeria -- Fiction', 'Lion hunting -- Fiction'}",
763,PG10689,La Cour de Louis XIV,Imbert de Saint-Amand,1834.0,1900.0,['fr'],37,"{'France -- Court and courtiers', 'France -- History -- Louis XIV, 1643-1715'}",
772,PG10697,"Discours sur la nécessité et les moyens de détruire l'esclavage dans les colonies: Lu à la séance publique de l'Académie royale des sciences, belles lettres et arts de Bordeaux, le 26 Août 1788","Laffon de Ladébat, André-Daniel",1746.0,1829.0,['fr'],3,"{'France -- Colonies -- History', 'Slavery -- France -- Colonies'}",
823,PG10746,Boule de Suif,"Maupassant, Guy de",1850.0,1893.0,['fr'],208,"{'Short stories, French', 'France -- Social life and customs -- Fiction'}",
830,PG10752,Мислите в главите,"Stojan, Harry",,,['bg'],22,{'Fiction'},
843,PG10764,Lettres écrites d'Égypte et de Nubie en 1828 et 1829,"Champollion, Jean-François",1790.0,1832.0,['fr'],62,"{'Egypt -- Antiquities', 'Egypt -- Description and travel', 'Champollion, Jean-François, 1790-1832'}",
847,PG10768,L'égyptologie,"Maspero, G. (Gaston)",1846.0,1916.0,['fr'],15,"{'Egyptology -- Bibliography', 'Egyptology -- History'}",
854,PG10774,Récits d'un soldat: Une armée prisonnière; Une campagne devant Paris,"Achard, Amédée",1814.0,1875.0,['fr'],28,"{'Franco-Prussian War, 1870-1871 -- Fiction'}",
855,PG10775,Le Horla,"Maupassant, Guy de",1850.0,1893.0,['fr'],277,"{'Short stories, French', 'French fiction -- 19th century'}",
899,PG10814,"Legends, Tales and Poems","Bécquer, Gustavo Adolfo",1836.0,1870.0,"['en', 'es']",320,{'Spanish language -- Readers'},
904,PG10819,De kleine Johannes,"Eeden, Frederik van",1860.0,1932.0,['nl'],32,{'Dutch fiction'},
906,PG10820,Een liefde,"Deyssel, Lodewijk van",1864.0,1952.0,['nl'],16,{'Fiction'},
907,PG10821,Manfredo: Drama en tres actos,"Byron, George Gordon Byron, Baron",1788.0,1824.0,['es'],18,{'Drama'},
908,PG10822,El paraiso de las mujeres: Novela,"Blasco Ibáñez, Vicente",1867.0,1928.0,['es'],44,"{'Spanish fiction -- 20th century', 'Engineers -- Fiction', 'Women -- Fiction'}",
909,PG10823,Reise durch England und Schottland,"Schopenhauer, Johanna",1766.0,1838.0,['de'],25,{'Great Britain -- Description and travel'},
910,PG10824,Un tournoi à Romans en 1484,"Chevalier, Ulysse",1804.0,1893.0,['fr'],14,"{'Tournaments, Medieval -- France'}",
911,PG10825,La Navidad en las Montañas,"Altamirano, Ignacio Manuel",1834.0,1893.0,['es'],61,{'Christmas stories'},
915,PG10829,Ludvigsbakke,"Bang, Herman",1857.0,1912.0,['da'],12,"{'Young women -- Fiction', 'Nurses -- Fiction', 'Man-woman relationships -- Fiction'}",
929,PG10841,L'archéologie égyptienne,"Maspero, G. (Gaston)",1846.0,1916.0,['fr'],75,"{'Egypt -- Antiquities', 'Art -- Egypt'}",
953,PG10863,Juha,"Aho, Juhani",1861.0,1921.0,['fi'],21,"{'Married people -- Fiction', 'Triangles (Interpersonal relations) -- Fiction'}",
1001,PG10906,Quinze Jours en Égypte,"Neuray, Fernand",1874.0,1934.0,['fr'],5,"{'Egypt -- Description and travel', 'Neuray, Fernand, 1874-1934 -- Travel -- Egypt'}",
1004,PG10909,Los Amantes de Teruel: Drama en cuatro actos en verso y prosa,"Hartzenbusch, Juan Eugenio",1806.0,1880.0,['es'],21,{'Lovers of Teruel (Legend) -- Drama'},
1010,PG10914,Die Brüder Wright: Eine Studie ueber die Entwicklung der Flugmaschine von Lilienthal bis Wright,"Hildebrandt, A. (Alfred)",1870.0,1949.0,['de'],38,{'Aeronautics -- History'},
1013,PG10917,Die Familie Pfäffling: Eine deutsche Wintergeschichte,"Sapper, Agnes",1852.0,1929.0,['de'],13,"{'Germany, Southern -- Fiction'}",
1024,PG10927,Tulitikkuja lainaamassa,"Lassila, Maiju",1868.0,1918.0,['fi'],17,{'Finnish fiction -- 20th century'},
1040,PG10941,Jumalainen näytelmä: Helvetti,Dante Alighieri,1265.0,1321.0,['fi'],28,{'Hell -- Poetry'},
1053,PG10953,"Histoire de la Révolution française, Tome 05","Thiers, Adolphe",1797.0,1877.0,['fr'],73,"{'France -- History -- Revolution, 1789-1799'}",
1073,PG10971,De Zoon van Dik Trom,"Kieviet, Cornelis Johannes",1858.0,1931.0,['nl'],25,"{'Villages -- Netherlands -- Juvenile fiction', 'Boys -- Juvenile fiction'}",
1077,PG10975,Vitaulium: Hofwyck en Spaansche Wijsheit,"Huygens, Constantijn",1596.0,1687.0,['nl'],9,"{'Poets, Dutch -- Homes and haunts -- Netherlands -- Voorburg -- Poetry', 'Huygens, Constantijn, 1596-1687 -- Homes and haunts -- Netherlands -- Voorburg -- Poetry'}",
1085,PG10982,La tentation de Saint Antoine,"Flaubert, Gustave",1821.0,1880.0,['fr'],46,"{'Egypt -- Fiction', 'Anthony, of Egypt, Saint, approximately 250-355 or 356 -- Fiction', 'Biographical fiction', 'Christian saints -- Fiction', 'Christian fiction'}",
1133,PG11024,Max Havelaar: Of de koffiveilingen der Nederlandsche Handelsmaatschappy,Multatuli,1820.0,1887.0,['nl'],120,"{'Java (Indonesia) -- Fiction', 'Dutch -- Indonesia -- Fiction', 'Persona (Literature)', 'Culture conflict -- Fiction', 'Colonies -- Oceania -- Fiction'}",
1145,PG11035,"Aziyadé: Extrait des notes et lettres d'un lieutenant de la marine anglaise entré au  service de la Turquie le 10 mai 1876 tué dans les murs de Kars, le 27 octobre  1877.","Loti, Pierre",1850.0,1923.0,['fr'],16,"{'Love stories', 'Istanbul (Turkey) -- Fiction', 'Triangles (Interpersonal relations) -- Fiction'}",
1146,PG11036,Légendes Normandes,"Lavalley, Gaston",1834.0,1922.0,['fr'],8,"{'Short stories, French', 'French fiction -- 19th century'}",
1147,PG11037,La veille d'armes: Pièce en cinq actes,"Farrère, Claude",1876.0,1957.0,['fr'],3,"{'France. Marine -- Drama', 'Courts-martial and courts of inquiry -- Drama'}",
1148,PG11038,En ballon! Pendant le siege de Paris,"Tissandier, Gaston",1843.0,1899.0,['fr'],43,"{'Paris (France) -- History -- Siege, 1870-1871', 'Balloon ascensions'}",
1151,PG11040,"Le passage, suivi de Transfiguration (Nouvelle)","Aleramo, Sibilla",1876.0,1960.0,['fr'],69,{'Italian fiction -- Translations into French'},
1153,PG11042,Isabelle,"Gide, André",1869.0,1951.0,['fr'],32,"{'Novelists -- Fiction', 'French fiction -- 20th century'}",
1157,PG11046,La vie d'Ernest Psichari,"Massis, Henri",1886.0,1970.0,['fr'],11,"{'Novelists, French -- 20th century -- Biography', 'Catholic converts -- France -- Biography', 'Psichari, Ernest, 1883-1914'}",
1158,PG11047,Libro segundo de lectura,"Cyr, Ellen M.",1860.0,1920.0,"['en', 'es']",34,{'Spanish language -- Readers'},
1159,PG11048,La Presse Clandestine dans la Belgique Occupée,"Massart, Jean",1865.0,1925.0,['fr'],37,"{'Belgium -- History -- German occupation, 1914-1918', 'Press -- Belgium'}",
1160,PG11049,Eugénie Grandet,"Balzac, Honoré de",1799.0,1850.0,['fr'],79,"{'Misers -- Fiction', 'France -- Social life and customs -- 19th century -- Fiction', 'Fathers and daughters -- Fiction', 'French fiction -- 19th century'}",
1184,PG11070,La Fontana de Oro,"Pérez Galdós, Benito",1843.0,1920.0,['es'],30,"{'Spain -- History -- Revolution, 1820-1823 -- Fiction', 'War stories', 'Spain -- History -- Ferdinand VII, 1813-1833 -- Fiction', 'Historical fiction'}",
1185,PG11071,Naufragios de Alvar Núñez Cabeza de Vaca,"Núñez Cabeza de Vaca, Alvar, active 16th century",,,['es'],46,"{'Southwestern States -- Description and travel', 'Explorers -- Spain -- Biography', 'Indians of North America -- Southwestern States', 'Núñez Cabeza de Vaca, Alvar, active 16th century', 'America -- Early accounts to 1600', 'America -- Discovery and exploration -- Spanish', 'Explorers -- America -- Biography'}",
1186,PG11072,Jumalainen näytelmä: Kiirastuli,Dante Alighieri,1265.0,1321.0,['fi'],9,{'Poetry'},
1189,PG11075,Der Mann im Nebel,"Falke, Gustav",1853.0,1916.0,['de'],5,"{'Germany, Northern -- Fiction'}",
1196,PG11081,Extracto de la gramatica mutsun,"Arroyo de la Cuesta, Felipe",,1842.0,"['es', 'nai']",40,"{'Catalan language -- Texts', 'Mutsun dialect -- Grammar'}",
1226,PG11108,Aus dem Durchschnitt,"Falke, Gustav",1853.0,1916.0,['de'],8,{'Hamburg (Germany) -- Fiction'},
1252,PG11131,Pierre et Jean,"Maupassant, Guy de",1850.0,1893.0,['fr'],39,"{'Sibling rivalry -- Fiction', 'Brothers -- Fiction', 'Inheritance and succession -- Fiction', 'Normandy (France) -- Fiction', 'France -- Social life and customs -- Fiction'}",
1253,PG11132,"Robert Ier et Raoul de Bourgogne, rois de France (923-936)","Lauer, Philippe",1874.0,1953.0,['fr'],22,"{'France -- History -- Robert I, 922-923', 'Raoul, King of France, -936', 'France -- History -- Raoul, 923-936', 'Robert I, King of France, -923'}",
1260,PG11139,Haabløse Slægter,"Bang, Herman",1857.0,1912.0,['da'],11,{'Danish fiction'},
1275,PG11152,Nummisuutarit,"Kivi, Aleksis",1834.0,1872.0,['fi'],18,{'Finnish drama'},
1300,PG11175,L'inutile beauté,"Maupassant, Guy de",1850.0,1893.0,['fr'],20,"{'Short stories, French', 'French fiction -- 19th century'}",
1301,PG11176,Mémoires du sergent Bourgogne,"Bourgogne, Adrien-Jean-Baptiste-François",1785.0,1867.0,['fr'],16,"{'Soldiers -- France -- Biography', 'Napoleonic Wars, 1800-1815 -- Campaigns -- Russia -- Personal narratives, French', 'France. Armée -- Biography', 'Napoleonic Wars, 1800-1815 -- Personal narratives, French', 'Napoleon I, Emperor of the French, 1769-1821 -- Contemporaries', 'Bourgogne, Adrien-Jean-Baptiste-François, 1785-1867'}",
1303,PG11178,La sagesse et la destinée,"Maeterlinck, Maurice",1862.0,1949.0,['fr'],16,"{'Wisdom', 'Fate and fatalism'}",
1326,PG11199,Claire de Lune,"Maupassant, Guy de",1850.0,1893.0,['fr'],30,"{'Short stories, French', 'French fiction -- 19th century'}",
1334,PG11205,20.000 Mijlen onder Zee: Oostelijk Halfrond,"Verne, Jules",1828.0,1905.0,['nl'],53,"{'Underwater exploration -- Fiction', 'Sea stories', 'Adventure stories', 'Science fiction', 'Submarines (Ships) -- Fiction'}",
1335,PG11206,Compendio di Chimica Fisiologica,"Cominelli, A.",,,['it'],9,"{'Chemistry, Physical and theoretical'}",
1336,PG11207,Redevoeringen,"Conscience, Hendrik",1812.0,1883.0,['nl'],10,"{'Speeches, addresses, etc.'}",
1337,PG11208,"De legende en de heldhaftige, vroolijke en roemrijke daden van Uilenspiegel en Lamme Goedzak in Vlaanderenland en elders","Coster, Charles de",1827.0,1879.0,['nl'],79,"{'Adventure stories', 'Eulenspiegel (Satire) -- Legends'}",
1338,PG11209,Wat eene moeder lijden kan,"Conscience, Hendrik",1812.0,1883.0,['nl'],5,{'Fiction'},
1422,PG11285,Een Heldin,"Kuiper, A. C.",1860.0,1934.0,['nl'],5,{'Fiction'},
1423,PG11286,Meesterstukken van Rembrandt Harmensz. Van Rijn: Leesboek voor het Lager en Voortgezet Onderwijs,"Kielder, G.",,,['nl'],5,"{'Rembrandt Harmenszoon van Rijn, 1606-1669'}",
1424,PG11287,De omwenteling van 1830,"Conscience, Hendrik",1812.0,1883.0,['nl'],7,"{'Belgium -- History -- Revolution, 1830-1839'}",
1425,PG11288,Ons Vaderland van de vroegste tijden tot de 15de eeuw,"Lievevrouw-Coopman, M.",1857.0,1916.0,['nl'],6,{'Belgium -- History'},
1429,PG11291,Камено доба,"Zujovic, Jovan",1856.0,1936.0,['sr'],21,{'Stone age'},
1430,PG11292,"Секунд вечности, источњачки роман","Ilić, Dragutin J.",1858.0,1926.0,['sr'],19,{'Fiction'},
1431,PG11293,Jan van Huysums Blomsterstykke: En Buket,"Wergeland, Henrik Arnold",1808.0,1845.0,['no'],5,"{'Huysum, Jan van, 1682-1749 -- Poetry'}",
1432,PG11294,Juhana Herttuan ja Catharina Jagellonican lauluja,"Leino, Eino",1878.0,1926.0,['fi'],1,{'Poetry'},
1433,PG11295,Lehtori Hellmanin vaimo,"Canth, Minna",1844.0,1897.0,['fi'],6,{'Fiction'},
1434,PG11296,Työmiehen vaimo,"Canth, Minna",1844.0,1897.0,['fi'],209,{'Finnish drama'},
1437,PG11299,O cancioneiro portuguez da Vaticana,"Braga, Teófilo",1843.0,1924.0,['pt'],5,{'Portuguese poetry -- To 1500'},
1440,PG11300,La belle Gabrielle — Tome 1,"Maquet, Auguste",1813.0,1888.0,['fr'],6,{'French fiction -- 19th century'},
1441,PG11301,Les gens de bureau,"Gaboriau, Emile",1832.0,1873.0,['fr'],9,"{'Public administration -- Fiction', 'Clerks -- Fiction', 'French fiction -- 19th century'}",
1442,PG11302,"Diario de la navegacion empredida en 1781: Desde el Rio Negro, para reconocer la Bahia de Todos los Santos, las Islas del Buen Suceso, y el desague del Rio Colorado","Villarino, Basilio",1741.0,1785.0,['es'],6,{'Argentina -- Discovery and exploration'},
1445,PG11305,La Campagna del 1796 nel Veneto: Parte prima: La decadenza militare della serenissima uomini ed armi,"Barbarich, Eugenio",1868.0,1931.0,['it'],6,{'Venice (Italy) -- History'},
1446,PG11306,Catalanisches Streitgedicht zwischen En Buc und seinem Pferd,,,,"['ca', 'de']",7,"{'Catalan language -- Texts', 'Poetry'}",
1447,PG11307,"El la Biblio: Elektitaj ĉapitroj de la Psalmaro, Sentencoj de Salomono kaj Predikanto","Zamenhof, L. L. (Ludwik Lejzer)",1859.0,1917.0,['eo'],21,{'Bible. Old Testament -- Selections'},
1458,PG11317,"De Aarde en haar Volken, Jaargang 1877",Various,,,['nl'],36,"{'Voyages and travels -- Periodicals', 'Geography -- Pictorial works -- Periodicals'}",
1459,PG11318,De reis om de wereld in tachtig dagen,"Verne, Jules",1828.0,1905.0,['nl'],73,"{'Voyages around the world -- Fiction', 'Adventure stories'}",
1500,PG11355,Pallieter,"Timmermans, Felix",1886.0,1947.0,['nl'],34,{'Dutch fiction'},
1528,PG11380,Le socialisme en danger,"Domela Nieuwenhuis, Ferdinand",1846.0,1919.0,['fr'],3,{'Socialism'},
1542,PG11393,20.000 Mijlen onder Zee: Westelijk Halfrond,"Verne, Jules",1828.0,1905.0,['nl'],23,"{'Underwater exploration -- Fiction', 'Sea stories', 'Adventure stories', 'Science fiction', 'Submarines (Ships) -- Fiction'}",
1545,PG11396,Fædra: Brudstykker af et Livs Historie,"Bang, Herman",1857.0,1912.0,['da'],5,{'Fiction'},
1576,PG11423,"Histoire de la Révolution française, Tome 06","Thiers, Adolphe",1797.0,1877.0,['fr'],37,"{'France -- History -- Revolution, 1789-1799'}",
1584,PG11430,Goede Vaêr Tromp: of hoe de Vereenigde Provinciën eene zeemogendheid werden,"Louwerse, Pieter",1840.0,1909.0,['nl'],12,"{'Tromp, Maarten Harpertsz., 1598-1653 -- Juvenile fiction', 'Netherlands -- History -- 1648-1714 -- Juvenile fiction', 'Historical fiction'}",
1588,PG11434,Pauvre Blaise,"Ségur, Sophie, comtesse de",1799.0,1874.0,['fr'],6,"{'France -- Fiction', 'Boys -- Fiction'}",
1606,PG11450,Fort comme la mort,"Maupassant, Guy de",1850.0,1893.0,['fr'],19,"{'Paris (France) -- Fiction', 'Jealousy -- Fiction', 'Painters -- France -- Fiction', 'Man-woman relationships -- Fiction'}",
1609,PG11453,La Suggestibilité,"Binet, Alfred",1857.0,1911.0,['fr'],60,{'Mental suggestion'},
1624,PG11467,Verhaal van het vergaan van het jacht de Sperwer: En van het wedervaren der schipbreukelingen op het eiland Quelpaert en het vasteland van Korea (1653-1666) met eene beschrijving van dat rijk,"Hamel, Hendrik",1630.0,1692.0,['nl'],51,"{'Korea -- Description and travel', 'Cheju Island (Korea) -- Description and travel', 'Shipwrecks'}",
1643,PG11484,Le pilote du Danube,"Verne, Jules",1828.0,1905.0,['fr'],16,"{'Sailing ships -- Fiction', 'Danube River -- Navigation -- Fiction'}",
1652,PG11492,Il Tenente dei Lancieri: Romanzo,"Rovetta, Gerolamo",1854.0,1910.0,['it'],3,{'Fiction'},
1654,PG11494,Les joies du pardon: Petites histoires contemporaines pour la consolation des coeurs chrétiens,Anonymous,,,['fr'],12,"{'Repentance', 'Forgiveness -- Religious aspects -- Christianity', 'Sins'}",
1655,PG11495,La Main Gauche,"Maupassant, Guy de",1850.0,1893.0,['fr'],18,"{'Short stories, French', 'French fiction -- 19th century'}",
1657,PG11497,Valenzia Candiano: Racconto,"Rovani, Giuseppe",1818.0,1874.0,['it'],9,{'Venice (Italy : Province) -- History -- 697-1508 -- Fiction'},
1662,PG11500,De val van Antwerpen (october 1914),"Muls, Jozef",1882.0,1961.0,['nl'],11,"{'World War, 1914-1918 -- Belgium -- Antwerp'}",
1674,PG11511,Robinsono Kruso,"Defoe, Daniel",,1731.0,['eo'],28,"{'Crusoe, Robinson (Fictitious character) -- Fiction', 'Adventure stories', 'English fiction -- Translations into Esperanto', 'Shipwreck survival -- Fiction', 'Castaways -- Fiction', 'Islands -- Fiction', 'Atlantic Ocean -- Fiction'}",
1693,PG11529,"La Espuma: Obras completas de D. Armando Palacio Valdés, Tomo 7.","Palacio Valdés, Armando",1853.0,1938.0,['es'],15,"{'Spanish fiction', 'Madrid (Spain) -- Social life and customs -- Fiction', 'Satire'}",
1756,PG11586,L'Ameublement de l'Hôtel de Pitsembourg au milieu du XVIIe siècle: Communication faite en séance du 26 avril 1901,"D'Awans, Robert",,,['fr'],3,{'Furniture -- Private collections -- Belgium -- Inventories'},
